Link_Text,Link_URL
"
					Indonesia Vs Australia: Socceroos Adaptasi Cepat dengan Cuaca                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533987/indonesia-vs-australia-socceroos-adaptasi-cepat-dengan-cuaca
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7534092/indonesia-vs-australia-pintu-dibuka-suporter-mulai-merahkan-sugbk
"
					Indonesia Vs Australia: Pintu Dibuka, Suporter Mulai Merahkan SUGBK                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7534092/indonesia-vs-australia-pintu-dibuka-suporter-mulai-merahkan-sugbk
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533985/memphis-depay-gabung-corinthians
"
					Memphis Depay Gabung Corinthians                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533985/memphis-depay-gabung-corinthians
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533984/timnas-indonesia-vs-australia-garuda-pakai-jersey-putih
"
					Timnas Indonesia Vs Australia: Garuda Pakai Jersey Putih                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533984/timnas-indonesia-vs-australia-garuda-pakai-jersey-putih
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533743/indonesia-vs-australia-duel-skuad-rp-285-m-vs-rp-737-m
"
					Indonesia Vs Australia: Duel Skuad Rp 285 M Vs Rp 737 M                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533743/indonesia-vs-australia-duel-skuad-rp-285-m-vs-rp-737-m
"



",https://sport.detik.com/raket/d-7533973/hong-kong-open-2024-sabar-reza-singkirkan-ahsan-hendra
"
					Hong Kong Open 2024: Sabar/Reza Singkirkan Ahsan/Hendra                ",https://sport.detik.com/raket/d-7533973/hong-kong-open-2024-sabar-reza-singkirkan-ahsan-hendra
"



",https://sport.detik.com/sepakbola/liga-inggris/d-7533672/mu-memang-butuh-pemain-seperti-ugarte
"
					MU Memang Butuh Pemain Seperti Ugarte                ",https://sport.detik.com/sepakbola/liga-inggris/d-7533672/mu-memang-butuh-pemain-seperti-ugarte
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533680/5-data-fakta-indonesia-vs-australia-jelang-kualifikasi-piala-dunia-2026
"
					5 Data-Fakta Indonesia Vs Australia Jelang Kualifikasi Piala Dunia 2026                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533680/5-data-fakta-indonesia-vs-australia-jelang-kualifikasi-piala-dunia-2026
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533671/dulu-cristiano-ronaldo-bilang-mau-pensiun-di-usia-30-tahun
"
					Dulu Cristiano Ronaldo Bilang Mau Pensiun di Usia 30 Tahun                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533671/dulu-cristiano-ronaldo-bilang-mau-pensiun-di-usia-30-tahun
"



",https://sport.detik.com/moto-gp/d-7533731/jorge-martin-blunder-di-san-marino-dibela-bezzecchi
"
					Jorge Martin Blunder di San Marino, Dibela Bezzecchi                ",https://sport.detik.com/moto-gp/d-7533731/jorge-martin-blunder-di-san-marino-dibela-bezzecchi
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533642/bek-australia-dan-memori-bagus-soal-fans-indonesia
"
					Bek Australia dan Memori Bagus soal Fans Indonesia                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533642/bek-australia-dan-memori-bagus-soal-fans-indonesia
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533639/haaland-di-ambang-top-skor-timnas-norwegia-sepanjang-masa
"
					Haaland di Ambang Top Skor Timnas Norwegia Sepanjang Masa                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533639/haaland-di-ambang-top-skor-timnas-norwegia-sepanjang-masa
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533636/indonesia-vs-australia-dipimpin-wasit-asal-qatar-ini
"
					Indonesia Vs Australia Dipimpin Wasit Asal Qatar Ini                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533636/indonesia-vs-australia-dipimpin-wasit-asal-qatar-ini
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533528/sebalnya-kevin-de-bruyne
"
					Sebalnya Kevin De Bruyne                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533528/sebalnya-kevin-de-bruyne
"



",https://sport.detik.com/basket/d-7533668/pp-perbasi-tetapkan-ardima-rama-putra-jadi-plt-ketum-pengganti-danny-kosasih
"
					PP Perbasi Tetapkan Ardima Rama Putra Jadi Plt Ketum Pengganti Danny Kosasih                ",https://sport.detik.com/basket/d-7533668/pp-perbasi-tetapkan-ardima-rama-putra-jadi-plt-ketum-pengganti-danny-kosasih
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533526/rodrygo-brasil-butuh-neymar-untuk-juara-piala-dunia-2026
"
					Rodrygo: Brasil Butuh Neymar untuk Juara Piala Dunia 2026                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533526/rodrygo-brasil-butuh-neymar-untuk-juara-piala-dunia-2026
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533523/pelatih-australia-tak-beda-bedakan-pemain-lokal-keturunan-indonesia
"
					Pelatih Australia Tak Beda-bedakan Pemain Lokal-Keturunan Indonesia                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533523/pelatih-australia-tak-beda-bedakan-pemain-lokal-keturunan-indonesia
"



",https://sport.detik.com/sepakbola/liga-spanyol/d-7533520/barcelona-pastikan-marc-bernal-harus-menepi-sampai-12-bulan
"
					Barcelona Pastikan Marc Bernal Harus Menepi Sampai 12 Bulan                ",https://sport.detik.com/sepakbola/liga-spanyol/d-7533520/barcelona-pastikan-marc-bernal-harus-menepi-sampai-12-bulan
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533618/aqua-luncurkan-label-khusus-untuk-dukung-timnas-kualifikasi-piala-dunia
"
					AQUA Luncurkan Label Khusus untuk Dukung Timnas Kualifikasi Piala Dunia                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533618/aqua-luncurkan-label-khusus-untuk-dukung-timnas-kualifikasi-piala-dunia
"



",https://sport.detik.com/detiktv/d-7533615/bagnaia-tercepat-di-tes-misano-kami-fokus-pada-sisi-elektronik
"
					Bagnaia Tercepat di Tes Misano: Kami Fokus pada Sisi Elektronik                ",https://sport.detik.com/detiktv/d-7533615/bagnaia-tercepat-di-tes-misano-kami-fokus-pada-sisi-elektronik
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533405/legenda-prancis-mbappe-tak-lagi-menakutkan
"
					Legenda Prancis: Mbappe Tak Lagi Menakutkan                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533405/legenda-prancis-mbappe-tak-lagi-menakutkan
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533404/pujian-shin-tae-yong-buat-sepakbola-australia-sejak-gabung-ke-afc
"
					Pujian Shin Tae-yong buat Sepakbola Australia Sejak Gabung ke AFC                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533404/pujian-shin-tae-yong-buat-sepakbola-australia-sejak-gabung-ke-afc
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533399/link-live-streaming-indonesia-vs-australia-ayo-dukung-garuda
"
					Link Live Streaming Indonesia Vs Australia, Ayo Dukung Garuda!                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533399/link-live-streaming-indonesia-vs-australia-ayo-dukung-garuda
"



",https://sport.detik.com/sepakbola/detiktv/d-7533470/daftar-pemain-arsenal-yang-cedera-terbaru-odegaard
"
					Daftar Pemain Arsenal yang Cedera, Terbaru Odegaard                ",https://sport.detik.com/sepakbola/detiktv/d-7533470/daftar-pemain-arsenal-yang-cedera-terbaru-odegaard
"



",https://sport.detik.com/raket/d-7533446/juara-di-taipei-open-sudah-ana-tiwi-tatap-turnamen-di-hong-kong
"
					Juara di Taipei Open Sudah, Ana/Tiwi Tatap Turnamen di Hong Kong                ",https://sport.detik.com/raket/d-7533446/juara-di-taipei-open-sudah-ana-tiwi-tatap-turnamen-di-hong-kong
"



",https://sport.detik.com/sepakbola/liga-italia/d-7533338/italia-yang-muda-yang-dewasa
"
					Italia yang Muda yang Dewasa                ",https://sport.detik.com/sepakbola/liga-italia/d-7533338/italia-yang-muda-yang-dewasa
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533332/jelang-lawan-indonesia-australia-tegaskan-sudah-jauh-lebih-baik
"
					Jelang Lawan Indonesia, Australia Tegaskan Sudah Jauh Lebih Baik                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533332/jelang-lawan-indonesia-australia-tegaskan-sudah-jauh-lebih-baik
"



",https://sport.detik.com/sepakbola/liga-indonesia/d-7533329/prediksi-indonesia-vs-australia-potensi-imbang-garuda-bisa-buat-kejutan
"
					Prediksi Indonesia Vs Australia: Potensi Imbang, Garuda Bisa Buat Kejutan                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7533329/prediksi-indonesia-vs-australia-potensi-imbang-garuda-bisa-buat-kejutan
"



",https://sport.detik.com/raket/d-7533334/perubahan-undian-hong-kong-open-2024-ginting-jumpa-popov
"
					Perubahan Undian Hong Kong Open 2024: Ginting Jumpa Popov                ",https://sport.detik.com/raket/d-7533334/perubahan-undian-hong-kong-open-2024-ginting-jumpa-popov
"



",https://sport.detik.com/sepakbola/bola-dunia/d-7533314/kean-jawab-kepercayaan-spalletti
"
					Kean Jawab Kepercayaan Spalletti                ",https://sport.detik.com/sepakbola/bola-dunia/d-7533314/kean-jawab-kepercayaan-spalletti
"



",https://sport.detik.com/sepakbola/liga-inggris/d-7533153/belajar-dari-kegagalan-chelsea-pasti-gaet-osimhen-secepatnya
"
					Belajar dari Kegagalan, Chelsea Pasti Gaet Osimhen Secepatnya                ",https://sport.detik.com/sepakbola/liga-inggris/d-7533153/belajar-dari-kegagalan-chelsea-pasti-gaet-osimhen-secepatnya
